ticker,name,node,window,n_weeks,actual,factor,idio,idio_share
SDRL,Seadrill,upstream_offshore_drillers,3m,13,0.1914691851724396,0.25694412440955533,-0.06547493923711573,-0.3419607138252986
SDRL,Seadrill,upstream_offshore_drillers,ytd,19,0.3822474532025342,0.3775148257632295,0.0047326274393047485,0.012381056824980755
SDRL,Seadrill,upstream_offshore_drillers,1y,52,0.7027126326377008,0.661959171172185,0.04075346146551584,0.05799449102337
SOC,Sable Offshore,upstream_offshore_drillers,1m,4,0.020339646730395115,0.011757402665457491,0.008582244064937624,0.421946564691928
SOC,Sable Offshore,upstream_offshore_drillers,3m,13,0.5240874034492713,0.16747347618293046,0.35661392726634084,0.6804474309424211
SOC,Sable Offshore,upstream_offshore_drillers,ytd,19,0.45241135571600233,0.24479653978807475,0.20761481592792758,0.45890717221133626
SOC,Sable Offshore,upstream_offshore_drillers,1y,52,-0.5394935300142267,0.25711483677477653,-0.7966083667890033,1.4765855797529144
TDW,Tidewater,ofs_offshore,1m,4,-0.052210608824462976,0.11534457428583061,-0.1675551831102936,3.209217185603601
TDW,Tidewater,ofs_offshore,3m,13,0.20835504710625635,0.3282879589189325,-0.11993291181267612,-0.575617982277689
TDW,Tidewater,ofs_offshore,ytd,19,0.48469742771780405,0.45741560375910933,0.027281823958694718,0.05628629821113572
TDW,Tidewater,ofs_offshore,1y,52,0.678810884899488,0.688336898772505,-0.009526013873016992,-0.014033384091104424
OII,Oceaneering International,ofs_offshore,1m,4,0.023748869022821015,0.12135612971081662,-0.0976072606879956,-4.1099751147813315
OII,Oceaneering International,ofs_offshore,3m,13,0.14115220628154398,0.39827747546553555,-0.2571252691839916,-1.8216170753372871
OII,Oceaneering International,ofs_offshore,ytd,19,0.4281096421793315,0.5469479495082963,-0.11883830732896478,-0.27758848580005685
OII,Oceaneering International,ofs_offshore,1y,52,0.6652161387239779,0.8689170035267845,-0.20370086480280658,-0.3062175629015059
HLX,Helix Energy Solutions,ofs_offshore,1m,4,0.029883722955618586,0.08142758238329388,-0.051543859427675295,-1.724813856165946
HLX,Helix Energy Solutions,ofs_offshore,3m,13,0.14037125473759604,0.4046058492186397,-0.26423459448104364,-1.8823981802755299
HLX,Helix Energy Solutions,ofs_offshore,ytd,19,0.45329127223728805,0.5575251776176744,-0.10423390538038635,-0.22994906755191657
HLX,Helix Energy Solutions,ofs_offshore,1y,52,0.4095343342756509,0.804791141737239,-0.3952568074615881,-0.9651371677070357
VTOL,Bristow Group,ofs_offshore,1m,4,-0.14249826521351197,0.08871483785772545,-0.23121310307123744,1.622567844772003
VTOL,Bristow Group,ofs_offshore,3m,13,-0.03883647047120142,0.25385132187419757,-0.292687792345399,7.5364158687498914
VTOL,Bristow Group,ofs_offshore,ytd,19,0.16723144894285247,0.3555929556778498,-0.18836150673499735,-1.1263521779289587
VTOL,Bristow Group,ofs_offshore,1y,52,0.3763423449911036,0.642422158708893,-0.2660798137177894,-0.7070153472208377
INVX,Innovex International,ofs_offshore,1m,4,0.023118066802335448,0.09571709086795706,-0.0725990240656216,-3.1403587802716904
INVX,Innovex International,ofs_offshore,3m,13,0.0678613506517545,0.353532536297123,-0.28567118564536853,-4.209630119379045
INVX,Innovex International,ofs_offshore,ytd,19,0.20732752844463664,0.4895618089105799,-0.28223428046594323,-1.361296700844573
INVX,Innovex International,ofs_offshore,1y,52,0.6026402048001569,0.7379162954105594,-0.13527609061040247,-0.22447239585560297
FRO,Frontline,tanker_shipping,1m,4,0.09334925477831148,0.06628312554628364,0.027066129232027836,0.28994478098732834
FRO,Frontline,tanker_shipping,3m,13,0.280915229283449,0.19564272369397392,0.08527250558947505,0.3035524482135976
FRO,Frontline,tanker_shipping,ytd,19,0.5785204113305027,0.2855823457011435,0.2929380656293592,0.5063573555782576
FRO,Frontline,tanker_shipping,1y,52,0.817369295106573,0.5144550887465409,0.3029142063600321,0.3705965078129544
INSW,International Seaways,tanker_shipping,1m,4,0.14949783817549933,0.046865202732896336,0.102632635442603,0.6865158499624585
INSW,International Seaways,tanker_shipping,3m,13,0.370326240095855,0.14698836435974397,0.22333787573611105,0.6030841230108415
INSW,International Seaways,tanker_shipping,ytd,19,0.599795006642516,0.21607394794824422,0.38372105869427175,0.6397536732461887
INSW,International Seaways,tanker_shipping,1y,52,0.9022190720340123,0.3370007112709446,0.5652183607630676,0.6264757399650268
DHT,DHT Holdings,tanker_shipping,1m,4,0.0813636179795182,0.07590199519769789,0.005461622781820316,0.06712610522303936
DHT,DHT Holdings,tanker_shipping,3m,13,0.2668178662749072,0.128709824589407,0.13810804168550023,0.5176116712634417
DHT,DHT Holdings,tanker_shipping,ytd,19,0.4630896508356686,0.20702915046576176,0.25606050036990685,0.5529393712596098
DHT,DHT Holdings,tanker_shipping,1y,52,0.5739142308426275,0.3504543846393246,0.2234598462033029,0.38936104768689317
TNK,Teekay Tankers,tanker_shipping,1m,4,0.07072201861424847,0.05943888365696519,0.01128313495728328,0.15954203766194608
TNK,Teekay Tankers,tanker_shipping,3m,13,0.1766411637052312,0.15117360821812056,0.025467555487110632,0.14417678729522782
TNK,Teekay Tankers,tanker_shipping,ytd,19,0.38218504254835595,0.23069233440327366,0.15149270814508228,0.39638575893747774
TNK,Teekay Tankers,tanker_shipping,1y,52,0.5968109168768735,0.3669007915591667,0.22991012531770677,0.38523109885595297
NAT,Nordic American Tankers,tanker_shipping,1m,4,0.008703308502453549,0.07924549023801962,-0.07054218173556608,-8.105214438357498
NAT,Nordic American Tankers,tanker_shipping,3m,13,0.334063451432694,0.1087110030321912,0.2253524484005028,0.6745797764886773
NAT,Nordic American Tankers,tanker_shipping,ytd,19,0.5507723956268145,0.199712566892424,0.35105982873439046,0.6373954677500889
NAT,Nordic American Tankers,tanker_shipping,1y,52,0.8536054193946374,0.3252408566168088,0.5283645627778286,0.618979859748941
TEN,Tsakos Energy Navigation,tanker_shipping,1m,4,0.10132778666041883,0.08532450023397402,0.016003286426444815,0.1579358135994507
TEN,Tsakos Energy Navigation,tanker_shipping,3m,13,0.469679348602738,0.26836821677590905,0.20131113182682897,0.42861397339635005
TEN,Tsakos Energy Navigation,tanker_shipping,ytd,19,0.6516304579420309,0.35898160830732817,0.2926488496347027,0.4491024722185972
TEN,Tsakos Energy Navigation,tanker_shipping,1y,52,0.9299893774121094,0.5061768275407881,0.42381254987132133,0.45571762448585024
STNG,Scorpio Tankers,tanker_shipping,1m,4,0.10259189892593354,0.05117177792783991,0.05142012099809363,0.5012103444465581
STNG,Scorpio Tankers,tanker_shipping,3m,13,0.19344675950435908,0.22331612684130928,-0.029869367336950198,-0.1544061395160105
STNG,Scorpio Tankers,tanker_shipping,ytd,19,0.4786476071504681,0.31955001350856643,0.15909759364190168,0.3323898234633556
STNG,Scorpio Tankers,tanker_shipping,1y,52,0.7217307784573895,0.426243315201703,0.29548746325568653,0.4094150784136635
ASC,Ardmore Shipping,tanker_shipping,1m,4,0.19377602355926882,0.05616079078465966,0.13761523277460916,0.7101767816621432
ASC,Ardmore Shipping,tanker_shipping,3m,13,0.363318871804871,0.160517941598359,0.202800930206512,0.5581899150986879
ASC,Ardmore Shipping,tanker_shipping,ytd,19,0.5594337105869115,0.22378902895516836,0.3356446816317431,0.5999722134721065
ASC,Ardmore Shipping,tanker_shipping,1y,52,0.6556497811307223,0.29265502287094436,0.3629947582597779,0.553641240654063
NVGS,Navigator Holdings,tanker_shipping,1m,4,0.13795422645555006,0.06318422940052348,0.07476999705502657,0.5419913472467482
NVGS,Navigator Holdings,tanker_shipping,3m,13,0.22139049220300255,0.1509491121884536,0.07044138001454894,0.318177078489704
NVGS,Navigator Holdings,tanker_shipping,ytd,19,0.2807131927044825,0.19216907603710862,0.08854411666737386,0.3154255623482137
NVGS,Navigator Holdings,tanker_shipping,1y,52,0.5359886397289229,0.35481964264505894,0.18116899708386391,0.3380090241753826
LPG,Dorian LPG,tanker_shipping,1m,4,0.12070018146581811,0.07417784065102444,0.04652234081479367,0.38543720688579614
LPG,Dorian LPG,tanker_shipping,3m,13,0.21010478047454592,0.19870216647497732,0.0114026139995686,0.054271083093942366
LPG,Dorian LPG,tanker_shipping,ytd,19,0.49336584570079933,0.23606089582124015,0.2573049498795592,0.5215297169873434
LPG,Dorian LPG,tanker_shipping,1y,52,0.6606491487849622,0.40609255289242985,0.2545565958925323,0.3853128341430576
GLNG,Golar LNG,tanker_shipping,1m,4,0.025571174387300846,0.06860648934690045,-0.0430353149595996,-1.682962006663714
GLNG,Golar LNG,tanker_shipping,3m,13,0.2623788645497431,0.25733381359005536,0.0050450509596877136,0.01922811491827021
GLNG,Golar LNG,tanker_shipping,ytd,19,0.39418809513575287,0.3248551596955963,0.06933293544015656,0.17588794866135993
GLNG,Golar LNG,tanker_shipping,1y,52,0.3905106181599618,0.5055068348479985,-0.11499621668803672,-0.2944765426094809
FLNG,FLEX LNG,tanker_shipping,1m,4,0.08832153245363643,0.09681710953816322,-0.008495577084526792,-0.09618919473556992
FLNG,FLEX LNG,tanker_shipping,3m,13,0.21894542999931985,0.16222811116996147,0.056717318829358376,0.2590477400214956
FLNG,FLEX LNG,tanker_shipping,ytd,19,0.29206237054547923,0.22061066934584547,0.07145170119963376,0.24464535114943017
FLNG,FLEX LNG,tanker_shipping,1y,52,0.4294135278401435,0.344932792358899,0.08448073548124452,0.19673515155930044
TK,Teekay Corporation,tanker_shipping,1m,4,0.09950398133036434,0.05804739939838003,0.04145658193198431,0.4166323937767256
TK,Teekay Corporation,tanker_shipping,3m,13,0.2611168917297938,0.11992209469841877,0.14119479703137502,0.540734060121567
TK,Teekay Corporation,tanker_shipping,ytd,19,0.39451205444300186,0.19573347599371843,0.19877857844928343,0.5038593275177159
TK,Teekay Corporation,tanker_shipping,1y,52,0.6746552759228233,0.36815246001257956,0.3065028159102437,0.4543102631058441
SFL,SFL Corporation,tanker_shipping,1m,4,0.08316014546758628,0.0702905080679703,0.012869637399615982,0.15475727377884688
SFL,SFL Corporation,tanker_shipping,3m,13,0.27177031191996504,0.1204779462416485,0.15129236567831655,0.556692026474442
SFL,SFL Corporation,tanker_shipping,ytd,19,0.43268331980076064,0.16005644721824971,0.27262687258251095,0.6300840825295704
SFL,SFL Corporation,tanker_shipping,1y,52,0.39880113722068444,0.29066635683132463,0.10813478038935981,0.2711496289678866
LNG,Cheniere Energy,lng_terminals,1m,4,-0.015637159925163728,0.036927367300782575,-0.0525645272259463,3.3615136941432753
LNG,Cheniere Energy,lng_terminals,3m,13,0.2043198935287508,0.20604435214577668,-0.0017244586170258869,-0.008439993713990608
LNG,Cheniere Energy,lng_terminals,ytd,19,0.32538206387361296,0.24648700734884876,0.0788950565247642,0.24246897811616663
LNG,Cheniere Energy,lng_terminals,1y,52,0.11910078532347408,0.3119537881890147,-0.19285300286554063,-1.619242075875132
CQP,Cheniere Energy Partners,lng_terminals,1m,4,0.01654231074954688,0.06096908335042884,-0.04442677260088196,-2.685644906174845
CQP,Cheniere Energy Partners,lng_terminals,3m,13,0.11899464516803018,0.1597001873725938,-0.04070554220456363,-0.34207877293204303
CQP,Cheniere Energy Partners,lng_terminals,ytd,19,0.19463829397800111,0.16566633366558373,0.02897196031241739,0.14885025819067202
CQP,Cheniere Energy Partners,lng_terminals,1y,52,0.15323429099617905,0.17454572856901202,-0.021311437572832964,-0.13907747041662086
NEXT,NextDecade,lng_terminals,1m,4,-0.007989382424267256,0.13679218438495291,-0.14478156680922016,18.121746978772112
NEXT,NextDecade,lng_terminals,3m,13,0.3559113398831071,0.3611908467500804,-0.005279506866973316,-0.014833769749250695
NEXT,NextDecade,lng_terminals,ytd,19,0.32954439909107835,0.41017336972840523,-0.08062897063732688,-0.24466800485673834
NEXT,NextDecade,lng_terminals,1y,52,-0.025083830789906718,0.5999864363366377,-0.6250702671265445,24.91925066637196
EE,Excelerate Energy,lng_terminals,1m,4,-0.0011641711098527895,0.05624421583340259,-0.05740838694325538,49.312671013211045
EE,Excelerate Energy,lng_terminals,3m,13,-0.07534909681653236,0.13816815049396322,-0.2135172473104956,2.8337067905457327
EE,Excelerate Energy,lng_terminals,ytd,19,0.2117044554225742,0.23655402663982789,-0.024849571217253674,-0.11737859350977053
EE,Excelerate Energy,lng_terminals,1y,52,0.19071896839556415,0.49062194999656167,-0.2999029816009975,-1.5724863872951444
