ticker,name,node,beta_to_basket,alpha_annual,r2,resid_std_daily,cum_resid_60d,cum_resid_20d,z_resid_60d,z_resid_20d,n_obs
VTOL,Bristow Group,ofs_offshore,0.6125078141853582,0.0016647320182713022,0.39585124236476343,0.020081028517185164,-0.1084733847610865,-0.13688214608722268,-0.6973673556725547,-1.5242136790710106,1254
INVX,Innovex International,ofs_offshore,0.8429337873764053,-0.20004118830182163,0.533578981080967,0.01988046688574508,0.03436016420133757,0.0922651599188942,0.2231274622296934,1.0377581709686508,1254
FRO,Frontline,tanker_shipping,1.264534998003236,-0.0032804439481187034,0.639276460258505,0.018537883692435402,-0.05870063538302501,-0.04620712925234619,-0.4087963635658891,-0.5573574835596091,1254
INSW,International Seaways,tanker_shipping,1.1052390863491695,0.05413067720400225,0.7193705277761043,0.013626090106361186,0.059376828212572015,0.04020624843981845,0.5625616373267959,0.659792383067453,1254
DHT,DHT Holdings,tanker_shipping,0.9753329097382109,-0.007902178791723327,0.6553729506247159,0.014088554187829807,-0.0041669346487559975,-0.036723579263072105,-0.038183403549214935,-0.5828590962177363,1254
TNK,Teekay Tankers,tanker_shipping,1.2449547711130335,-0.007906533642808264,0.728346934064743,0.014860034322224252,-0.17968042587324956,-0.05768696661503133,-1.5610087252754732,-0.8680463044022328,1254
NAT,Nordic American Tankers,tanker_shipping,1.1887674834036865,-0.19590009648345208,0.5290724539555719,0.022018018234827297,0.05860360779568753,-0.11228340227300193,0.3436137236931324,-1.140308439886057,1254
TEN,Tsakos Energy Navigation,tanker_shipping,1.1310660334002636,0.004048785020107008,0.5654517562680933,0.019532713101465725,0.15879375907214743,0.015965709615222843,1.0495309094600385,0.1827724178572067,1254
STNG,Scorpio Tankers,tanker_shipping,1.1412026099281176,-0.03755227139522326,0.6212941599619413,0.017530293216630518,-0.11012748564462166,-0.0020013093485385137,-0.8110187939444279,-0.02552760351488339,1254
ASC,Ardmore Shipping,tanker_shipping,1.12385843975414,-0.018523547388331577,0.5835121100504908,0.01871196235461772,0.05919171830611632,0.13116261385722722,0.40838143160047463,1.5673851578636726,1254
