ticker,name,node,r2_adj,n_obs,dominant,dominant_t,beta_CL,t_CL,varshare_CL,beta_NG,t_NG,varshare_NG,beta_CRACK_321,t_CRACK_321,varshare_CRACK_321,beta_WTI_BRENT,t_WTI_BRENT,varshare_WTI_BRENT,beta_SPX,t_SPX,varshare_SPX,beta_TNX,t_TNX,varshare_TNX,beta_URA,t_URA,varshare_URA,beta_BDRY,t_BDRY,varshare_BDRY
KOS,Kosmos Energy,upstream_oil_eandp,0.4498089252662346,261,CL,3.668255843957175,2.05469179575,3.668255843957175,1.4833091630818063,-0.018291454441322703,-1.5666790897257667,0.0027698215339956866,0.06719834927585805,2.0703332044441445,0.5245233821842755,-0.015684344665988847,-3.4840987078935712,0.028574615697879256,0.48952717716922,2.0368882777421526,0.014028771536431579,0.008954711979401987,1.8196687934559617,0.009314314262044682,0.44617801515876493,4.7625576883898635,0.07466720740592152,0.1455168384868123,2.6261716357409384,0.01621748605561699
HPK,HighPeak Energy,upstream_oil_eandp,0.26232927648063165,261,CL,2.150384814343321,1.235986474808589,2.150384814343321,0.5744597045304272,-0.02671241127883259,-1.1251440052539894,0.0063223032255817525,0.026511922175548666,0.8356795510827772,0.08738238693398555,-0.01043211216378806,-2.458234111325987,0.013529631464702825,0.4676445143848002,1.659554369932274,0.01370223917285936,0.005021535654892948,1.0319132624028822,0.0031348341749379716,0.13576634969103535,1.3155042902087388,0.007399317876258745,-0.02098415622941295,-0.38051114531510244,0.000360939058952832
REPX,Riley Exploration Permian,upstream_oil_eandp,0.22958811992275074,261,CL,4.096519574032407,1.5371067593376129,4.096519574032407,0.9661801705890047,-0.0008671005941899433,-0.06893884311381789,7.244460103201808e-06,0.05154682614050742,2.464564076702414,0.35922226970670645,-0.012143321085257354,-2.820744676856816,0.019935831290666544,0.7741582312228313,3.283946763492812,0.04083544083464115,-0.002265751898315199,-0.5395085717048786,0.0006940393555042657,0.13487678625851762,1.530449770721711,0.007941448841154658,0.005906553076441203,0.08787474200650655,3.109832536774899e-05
VTS,Vitesse Energy,upstream_oil_eandp,0.27357540209054865,173,CL,3.840316816567041,1.3032364568122272,3.840316816567041,2.0481989814239907,0.001239896269044043,0.18021806960506873,6.75177292948526e-05,0.05668547225823864,3.2970454622854652,1.142166462996447,-0.0015673858932232297,-0.507226478965185,0.0009127937885332061,0.761629483573129,3.963150993419763,0.10339136800970707,0.005012801781532828,1.1053323141266862,0.010436344126143776,-0.034040359109166723,-0.48378639936483564,0.0014182455984088431,0.03908850024697992,0.9561483922120735,0.0035165333519831445
GRNT,Granite Ridge Resources,upstream_oil_eandp,0.08759593776468166,261,CL,2.2799018146330887,0.7321361093860044,2.2799018146330887,0.7118732526699417,-0.005302029578159958,-0.5713086793901159,0.0008796710828331156,0.02944590142897994,1.6659924571560012,0.38069578350367256,-0.004164484907643297,-1.626916333112949,0.007614667491993056,0.4111251829905502,2.5445293632268493,0.03740200659115119,0.003146092081930355,1.2937204009261802,0.004345814836017378,-0.030074214685484414,-0.5780201528288759,0.0012822800370613967,0.011237300277177262,0.3417366592186602,0.00036556256787490405
GFR,Greenfire Resources,upstream_oil_eandp,0.09181814606866956,229,CL,4.367505698761996,1.5313358011727598,4.367505698761996,1.9054386140131412,0.01869623292249678,2.1858503135243006,0.007375169636437566,0.07012487994338887,3.86076522495422,1.3617775833755625,-0.0033842169748126384,-0.6583165055371887,0.0026776452526516524,0.27143448726385955,1.3461727647087145,0.010498450234937323,0.0004942449111148532,0.16685144835351656,7.003312396779032e-05,0.034331359267071954,0.4294077348070789,0.0009194142611168707,-0.0005995036333229092,-0.019642610348452518,5.638570216568943e-07
EGY,VAALCO Energy,upstream_oil_eandp,0.4021095591431344,261,CL,2.3108373213278064,0.8294634794303568,2.3108373213278064,0.3194801863452119,0.0005733902685962644,0.07327210455147622,3.5972202432998762e-06,0.0034388904118427856,0.17089376171776785,0.0018154964361364165,-0.009023065749393874,-1.9829286748166253,0.01249876124804348,0.3275576655879753,2.062920021643885,0.008301424968686263,0.007372334267395257,2.1478512518517943,0.008343893740436875,0.34786905715174643,4.757603336254939,0.059986877952296576,0.024483207681593573,0.3825156868332218,0.000606742965419706
GPRK,GeoPark,upstream_oil_eandp,0.38505853568926596,261,CL,2.5837057881341927,1.1649045436497285,2.5837057881341927,1.0428928694132644,0.01875419582814479,1.9326559076717653,0.006369024430317139,0.034534917808131546,1.3473574036831957,0.3030297102668645,-0.007349238277106326,-1.8166867067249228,0.013723124826547221,0.37481590224190015,3.0510135198960646,0.017989651815916614,0.00931462128349568,2.9235010897990414,0.02204442427179773,0.20537985997641175,3.3553167251600775,0.03460588777024593,0.1061132104595288,2.7599122521264134,0.018863255806182002
WTI,W&T Offshore,upstream_oil_eandp,0.43217073697190866,261,CL,1.8743257661258086,1.4768351212128046,1.8743257661258086,0.7273568424932991,0.017327532644726196,1.449438454811279,0.0023592499710215365,0.02280962002004091,0.5036516895094151,0.05736261526896326,-0.004145019190102754,-0.8181416870071831,0.001894287674300903,0.14408652581910186,0.6914800191413384,0.0011536072217045923,0.0011319932764900238,0.22916706227996259,0.00014127995147170038,0.28256108136745506,2.866118178618982,0.028423886564718354,0.019598911872461856,0.3424716089459034,0.00027923261985105256
SD,SandRidge Energy,upstream_oil_eandp,0.28032010708326816,261,CRACK_321,-0.4896222104851502,0.25158699788242905,0.3912854158576488,0.038657463032814546,0.02040031324549113,1.6991125686865902,0.0059889079463053526,-0.018194282366475203,-0.4896222104851502,0.06683995702456397,-0.0017652528226017226,-0.3933243681787713,0.0006291875641605312,0.42682794376153427,2.0529949821524585,0.01853917370314779,0.006119787839567366,2.11191646189088,0.007562041104086134,0.1570442345347827,1.6649324635905005,0.016079636478297143,0.03442819604503504,0.6717835992240129,0.0015779899182678983
EQT,EQT Corp,upstream_gas_eandp,0.25887542733417,261,SPX,4.052965105198847,0.08492393922124615,0.16348080492014383,0.006151540072180318,0.04366895813802402,3.0927801467906986,0.03832536140936106,-0.012668381145352384,-0.41488187746057964,0.04525589683223687,-0.001967374205464065,-0.6584179966034699,0.0010914576249624465,0.6448368826883177,4.052965105198847,0.05909504352757297,0.00528787968083539,1.6543786535208147,0.007884897693621268,0.17242169809613678,2.413854623705718,0.02706965371254287,0.04716955158700025,1.1905096934027042,0.004136812310057653
EXE,Expand Energy,upstream_gas_eandp,0.31434286815935364,261,CRACK_321,-0.82263444844844,-0.004755172036245051,-0.012964301803855596,3.03908565244541e-05,0.04158959197394381,4.945641366586968,0.05477681719261668,-0.01769178663997747,-0.82263444844844,0.13907952429173887,-0.0020617096042137417,-0.8393803674625122,0.0018887513954196095,0.4444289812310625,3.3740625564329587,0.04423264778984514,0.003120394391245184,1.3050351523584716,0.004326520714267232,0.1404594582142183,2.453756119654476,0.028306600718642872,0.014898785550595239,0.5078069002941913,0.000650325729509471
AR,Antero Resources,upstream_gas_eandp,0.33095343437721747,261,CL,1.7902265411654852,0.817634561610164,1.7902265411654852,0.42661170510127605,0.05225572756995838,2.6391138737412265,0.04105812241601789,0.015056420349532574,0.5786904649888057,0.04782633316195686,-0.004140674584828058,-1.147875421773727,0.003617144213658138,0.5988112363363933,3.207219355579672,0.038126056654474605,0.004351152672170576,1.3071548352690627,0.003994222619574941,0.14849150531149127,1.803279271626368,0.015020789970177967,0.017867638190400218,0.3973325600998567,0.00044408623376616246
RRC,Range Resources,upstream_gas_eandp,0.3317818389437448,261,CL,1.9725568054499327,0.8847356563066521,1.9725568054499327,0.5705752060588244,0.04055298466527147,2.4963221630382906,0.02824544906843585,0.022305082833672562,0.8735942209556964,0.11989549173957613,-0.004431754144027649,-1.2063946724089116,0.00473310883989268,0.5193494300852222,2.59314344412779,0.032759168901629256,0.002679885442350507,0.9151577646874173,0.001730723264454642,0.22434909424096025,3.0261826653276467,0.03916604733626284,0.04651349162791874,0.9854373250740263,0.0034376562320346782
CRK,Comstock Resources,upstream_gas_eandp,0.28838670152194423,261,CL,1.285458453018761,0.71033085856115,1.285458453018761,0.20739479252455834,0.08366156515417043,3.96464397871069,0.06778685046583457,0.011809380671774086,0.364398857597294,0.01895134620721363,-0.006721171746899717,-1.6894262492772953,0.006138691484442066,0.7237417922458838,3.0044893384837676,0.035873314767299,0.012610359575096472,2.952933043561962,0.021609303133467067,0.19269379569933487,1.708715889154177,0.016292480704107912,-0.039828935399801764,-0.6824611933898461,0.0014213224176964033
CNX,CNX Resources,upstream_gas_eandp,0.23653695110672213,261,CRACK_321,-0.5558153169665989,0.016282770880881862,0.03632727791000246,0.00032485447121259994,0.010122636452440674,0.953538540475026,0.0029582611256098387,-0.014589008525359083,-0.5558153169665989,0.08621704198513068,-0.000992605383338202,-0.4400768632825166,0.0003991120267563312,0.4311000122788314,3.172166446500944,0.037941632825182425,0.005847504343243742,2.5931142557807636,0.013851049092449278,0.17795012177275182,3.0091326215265055,0.04141942566439788,0.038573230715538726,1.2293667397447807,0.003973955327244495
BKV,BKV Corporation,upstream_gas_eandp,0.14433005117749198,84,CL,2.916669053243255,1.6562948516595417,2.916669053243255,2.7078659715297335,0.010843695461759206,0.8443025472093979,0.004130094666014643,0.08547187330439114,2.5761216718630293,2.182019335222107,-0.0011626323531613702,-0.3131500980073806,0.0004953190112714485,0.7993656966575347,3.471305420408021,0.08342873710468694,0.007140225936221197,0.7953540366211878,0.01003684408280853,-0.021801018802451597,-0.18071020728137216,0.0004292411681807597,0.01630862251831537,0.1973216641305887,0.00028965341361360003
GPOR,Gulfport Energy,upstream_gas_eandp,0.20809800094282993,259,CL,1.206629324397439,0.4522684982811789,1.206629324397439,0.21955214226953035,0.03335024398025755,2.677150045124959,0.028156439501422395,0.0065560692205485,0.3114987866443543,0.015258852294105247,-0.00034033469960951444,-0.08031665113765449,4.1118383629581195e-05,0.31905596780090917,2.0811628482445643,0.018182780608570797,0.0023414802364829994,0.9335520762954383,0.001946534249333662,0.1251929963227416,1.934115597066714,0.01792398268506111,0.039600463248361376,0.8018048873257473,0.003588147725725227
DEC,Diversified Energy,upstream_gas_eandp,-0.015385749668658244,127,BDRY,-1.09582375114014,0.18761515939258666,0.156199018067675,0.0013832294835465632,-0.013460806928533442,-0.41866535665406457,0.00032098845237235916,0.01969309262878577,0.343093496371463,0.004547590058770526,-0.001675940310552267,-0.23612310237931536,4.0506418950344016e-05,0.7699550625370442,1.2748631566813802,0.0033278669732150798,0.017584871376218905,1.4500911203840439,0.00345620500425889,-0.2969656392753933,-1.0438193115765464,0.0038475182174813357,-0.9005989116193056,-1.09582375114014,0.046564251612702494
TXO,TXO Partners,upstream_gas_eandp,0.11095873563553216,171,CL,1.6950605626564106,0.48404186931426824,1.6950605626564106,0.47199848356436575,0.010307855695036176,1.0731056613668097,0.007798077309593971,0.014890421461442337,0.9345261281902071,0.13167311882093805,-0.004142280715391687,-1.6191357514086375,0.010581634200873853,0.21172987769132073,1.2706100098532378,0.013262189330132021,0.0014142800385307688,0.6248760131598277,0.0013888209671756647,0.0139087986230867,0.2652224781507922,0.00039531875980300705,-0.00998542513909596,-0.26671860929289254,0.0003801254456605936
TPL,Texas Pacific Land,minerals_royalty,0.20483632081852698,261,CL,1.631508183987303,0.7224524556904871,1.631508183987303,0.38678897736038154,0.009066007566115877,0.9961520889256259,0.0014351744769581245,0.0165014312944598,0.6321981919465833,0.06671263803220231,-0.0044651084277559485,-1.659177854502003,0.00488459884380222,0.6558775843830942,3.135308010594815,0.053116425878972265,0.002425194388620818,0.6311533613275628,0.0014409801316870975,0.07101362745310635,0.7781450836196869,0.003989460866135149,0.03167815401434994,0.7569075704107973,0.0016210410166471996
VNOM,Viper Energy,minerals_royalty,0.3479115855556013,261,CL,1.3582331547136022,0.46448225719572145,1.3582331547136022,0.2620935282357681,0.012336569581999144,1.633912563519665,0.0043563610521487614,0.002847827751509841,0.1566265434225297,0.0032572778975885628,-0.0073978913155132095,-3.5670116252300517,0.021980788632612363,0.39495972410235847,3.2491407579956175,0.03157558332421231,0.005017779435974015,1.9075730329981921,0.010112313181811506,0.1670396652691408,2.768060891167234,0.03618532935108262,0.055620073038763596,1.746596276226774,0.008192187333614402
BSM,Black Stone Minerals,minerals_royalty,0.2870688247916505,261,CL,0.4713431138344087,0.13436481447408477,0.4713431138344087,0.040960619728305406,0.017103953771070046,2.704737418757724,0.015638872370725115,-0.007252722113064094,-0.4419584152639931,0.039455433411219945,-0.0009973639853896078,-0.5602031100695568,0.0007461258840021575,0.2575895001928524,2.6677504556496876,0.025082997771072646,0.00479909139873314,2.1522606786797307,0.01727518810509207,0.10165559610443145,2.384770531325329,0.025028409756823477,-0.0036171549507044752,-0.15483380606137387,6.470656683819815e-05
NRP,Natural Resource Partners,minerals_royalty,0.1297532247608323,261,CRACK_321,-0.9220832216412733,-0.11422291454847763,-0.3597584409744996,0.017640325604475236,0.003510326669538173,0.3646915648878446,0.00039256555564665065,-0.015596314401147466,-0.9220832216412733,0.10873101000474206,0.0016002373169760765,0.3721304165784515,0.0011446645867747396,0.20619180784349073,1.3796992472226817,0.00957790789326777,0.005294632238631048,1.7755845380814355,0.012530865220312179,0.18651244880935142,3.6846557125493202,0.05021009450379351,0.034045339940080334,0.9160412100873153,0.003416128493522631
SBR,Sabine Royalty Trust,minerals_royalty,0.298323180282388,261,CRACK_321,-1.1059011412656603,-0.20330168409490237,-0.4024970545989067,0.061355823598039635,0.009632689064703078,1.517173576887239,0.003245532208839822,-0.032340664385701885,-1.1059011412656603,0.5133115663287591,-0.004059453213588276,-2.014952106027009,0.0080875737866958,0.35427739553450216,3.1599721835578882,0.03104476993863891,0.0011057585411937544,0.5015472224399232,0.0006000725774404833,0.10502470046880805,1.7190332757833282,0.01747962090100671,0.010495359487637272,0.3736335804470224,0.0003564406286774235
PBT,Permian Basin Royalty Trust,minerals_royalty,0.1517728171424395,261,CRACK_321,-1.3127911100564773,-0.21174384458919196,-0.487902344494399,0.03357670149966753,0.014619048170921257,1.6481971469005252,0.0037711311622915934,-0.032920103188877094,-1.3127911100564773,0.2683169783782395,-0.00010269961288517424,-0.0376865926804973,2.611339824122736e-06,0.3133922332002301,1.7377341226638254,0.012255206150946446,0.0043425317530944915,1.1510367645272312,0.00466887002915173,0.1215842439877527,1.7378418434121172,0.011818063174809306,0.036981407736738664,0.939537935273169,0.0022325543762047187
